Subject,Name,Hierarchy,Correct,Fact-id,RT,Question_type
5,Cosmin,True,True,29,2124.541015625,Non-Species
5,Cosmin,True,False,25,2124.541015625,Non-Species
5,Cosmin,True,False,23,2124.541015625,Non-Species
5,Cosmin,True,True,22,2390.1044921875,Non-Species
5,Cosmin,True,False,24,1559.1708984375,Non-Species
5,Cosmin,True,False,21,2874.367919921875,Non-Species
5,Cosmin,True,True,27,4124.038818359375,Non-Species
5,Cosmin,True,False,24,4124.038818359375,Non-Species
5,Cosmin,True,True,18,1968.328857421875,Non-Species
5,Cosmin,True,True,25,2468.242431640625,Non-Species
5,Cosmin,True,True,14,4342.774658203125,Non-Species
5,Cosmin,True,True,16,2312.031494140625,Non-Species
5,Cosmin,True,False,23,1405.993896484375,Non-Species
5,Cosmin,True,False,13,1343.479248046875,Non-Species
5,Cosmin,True,False,20,1343.479248046875,Non-Species
5,Cosmin,True,False,21,3249.20703125,Non-Species
5,Cosmin,True,False,15,3249.20703125,Non-Species
5,Cosmin,True,False,19,9438.5244140625,Non-Species
5,Cosmin,True,False,26,1593.456298828125,Non-Species
5,Cosmin,True,True,15,2647.732421875,Non-Species
5,Cosmin,True,False,19,2647.732421875,Non-Species
5,Cosmin,True,True,20,3686.673828125,Non-Species
5,Cosmin,True,False,26,3686.673828125,Non-Species
5,Cosmin,True,True,23,1374.719970703125,Non-Species
5,Cosmin,True,False,21,1390.341064453125,Non-Species
5,Cosmin,True,False,24,5155.093994140625,Non-Species
5,Cosmin,True,False,13,11106.822509765625,Non-Species
5,Cosmin,True,False,25,2796.259521484375,Non-Species
5,Cosmin,True,False,27,2874.3662109375,Non-Species
5,Cosmin,True,False,20,2874.3662109375,Non-Species
5,Cosmin,True,True,21,1657.0234375,Non-Species
5,Cosmin,True,False,13,1702.77734375,Non-Species
5,Cosmin,True,True,27,1249.708251953125,Non-Species
5,Cosmin,True,True,15,1921.4697265625,Non-Species
5,Cosmin,True,False,24,1640.32470703125,Non-Species
5,Cosmin,True,False,19,2312.00927734375,Non-Species
5,Cosmin,True,True,18,2140.163330078125,Non-Species
5,Cosmin,True,True,25,3546.086181640625,Non-Species
5,Cosmin,True,False,26,3546.086181640625,Non-Species
5,Cosmin,True,True,23,1655.902099609375,Non-Species
5,Cosmin,True,True,20,2327.635498046875,Non-Species
5,Cosmin,True,True,24,1874.63623046875,Non-Species
5,Cosmin,True,True,13,2765.04345703125,Non-Species
5,Cosmin,True,True,27,1641.41748046875,Non-Species
5,Cosmin,True,True,21,2796.285888671875,Non-Species
5,Cosmin,True,True,19,2702.53759765625,Non-Species
5,Cosmin,True,True,25,1109.151123046875,Non-Species
5,Cosmin,True,True,26,3202.4140625,Non-Species
5,Cosmin,True,True,14,1562.2060546875,Non-Species
5,Cosmin,True,True,20,1484.068115234375,Non-Species
5,Cosmin,True,False,9,5654.9638671875,Species
5,Cosmin,True,True,13,2655.630859375,Non-Species
5,Cosmin,True,False,6,1577.790283203125,Species
5,Cosmin,True,False,9,1577.790283203125,Species
5,Cosmin,True,True,6,1640.277099609375,Species
5,Cosmin,True,True,18,1390.377685546875,Non-Species
5,Cosmin,True,True,25,1171.57080078125,Non-Species
6,Joshua,True,False,25,3655.47509765625,Non-Species
6,Joshua,True,True,13,1671.445068359375,Non-Species
